"通貨ペア","売買","種類","取引区分","数量","約定価格","建玉損益(円)","スワップ","受渡金額","受渡日","約定日時","注文日時"
"米ドル/円","買","通常","決済","20,000","155.952","-640","0","-640","2026/03/02","2026/02/26 23:58:30","2026/02/26 23:58:04"
"米ドル/円","売","通常","新規","20,000","155.920","","","","2026/03/02","2026/02/26 23:58:04","2026/02/26 23:58:04"
"米ドル/円","売","通常","決済","20,000","155.980","-300","0","-300","2026/03/02","2026/02/26 23:44:39","2026/02/26 23:44:39"
"米ドル/円","買","通常","新規","20,000","155.995","","","","2026/03/02","2026/02/26 23:43:50","2026/02/26 23:43:50"
"米ドル/円","売","通常","決済","20,000","156.086","120","0","120","2026/03/02","2026/02/26 23:31:23","2026/02/26 23:31:23"
"米ドル/円","買","通常","新規","20,000","156.080","","","","2026/03/02","2026/02/26 23:30:50","2026/02/26 23:30:50"
"米ドル/円","売","通常","決済","20,000","156.110","360","0","360","2026/03/02","2026/02/26 23:30:33","2026/02/26 23:30:33"
"米ドル/円","買","通常","新規","20,000","156.092","","","","2026/03/02","2026/02/26 23:30:21","2026/02/26 23:30:21"
"米ドル/円","売","通常","決済","20,000","156.135","120","0","120","2026/03/02","2026/02/26 23:29:29","2026/02/26 23:29:29"
"米ドル/円","買","通常","新規","20,000","156.129","","","","2026/03/02","2026/02/26 23:28:42","2026/02/26 23:28:42"
"米ドル/円","買","通常","決済","20,000","156.187","200","0","200","2026/03/02","2026/02/26 23:11:31","2026/02/26 23:11:31"
"米ドル/円","売","通常","新規","20,000","156.197","","","","2026/03/02","2026/02/26 23:09:09","2026/02/26 23:09:09"
"米ドル/円","買","通常","決済","10,000","156.158","130","0","130","2026/03/02","2026/02/26 23:00:43","2026/02/26 23:00:43"
"米ドル/円","売","通常","新規","10,000","156.171","","","","2026/03/02","2026/02/26 22:59:01","2026/02/26 22:59:01"
"米ドル/円","売","通常","決済","10,000","156.042","30","0","30","2026/03/02","2026/02/26 22:19:35","2026/02/26 22:19:35"
"米ドル/円","買","通常","新規","10,000","156.039","","","","2026/03/02","2026/02/26 22:16:54","2026/02/26 22:16:54"
