ticket,symbol,side,qty,entry_time,exit_time,hold_seconds,pnl,is_win,hold_min
36106162,USDJPY,売,10000.0,2026-02-25 22:16:34,2026-02-25 22:16:40,6.0,140.0,True,0.1
36106196,USDJPY,買,10000.0,2026-02-25 22:16:49,2026-02-25 22:16:54,5.0,40.0,True,0.08333333333333333
36106423,USDJPY,売,10000.0,2026-02-25 22:22:31,2026-02-25 22:22:48,17.0,-90.0,False,0.2833333333333333
36106854,USDJPY,買,10000.0,2026-02-25 22:40:11,2026-02-25 22:40:17,6.0,70.0,True,0.1
36106891,USDJPY,売,10000.0,2026-02-25 22:41:19,2026-02-25 22:41:32,13.0,-80.0,False,0.21666666666666667
36106901,USDJPY,売,10000.0,2026-02-25 22:41:35,2026-02-25 22:41:46,11.0,20.0,True,0.18333333333333332
36106945,USDJPY,買,10000.0,2026-02-25 22:42:06,2026-02-25 22:42:20,14.0,60.0,True,0.23333333333333334
36107532,USDJPY,売,16000.0,2026-02-25 22:58:48,2026-02-25 22:59:04,16.0,-192.0,False,0.26666666666666666
36107641,USDJPY,売,16000.0,2026-02-25 23:00:05,2026-02-25 23:00:20,15.0,48.0,True,0.25
36108045,USDJPY,売,16000.0,2026-02-25 23:14:42,2026-02-25 23:16:40,118.0,-464.0,False,1.9666666666666666
36108183,USDJPY,売,16000.0,2026-02-25 23:17:30,2026-02-25 23:17:50,20.0,-160.0,False,0.3333333333333333
36108290,USDJPY,買,16000.0,2026-02-25 23:20:38,2026-02-25 23:20:50,12.0,-240.0,False,0.2
36108368,USDJPY,買,16000.0,2026-02-25 23:22:28,2026-02-25 23:22:48,20.0,-288.0,False,0.3333333333333333
36108407,USDJPY,買,16000.0,2026-02-25 23:23:02,2026-02-25 23:23:09,7.0,64.0,True,0.11666666666666667
36108423,USDJPY,買,16000.0,2026-02-25 23:23:16,2026-02-25 23:23:19,3.0,-272.0,False,0.05
36108930,USDJPY,買,16000.0,2026-02-25 23:33:29,2026-02-25 23:35:38,129.0,128.0,True,2.15
36109633,USDJPY,買,16000.0,2026-02-25 23:44:13,2026-02-25 23:45:05,52.0,-928.0,False,0.8666666666666667
36109655,USDJPY,買,16000.0,2026-02-25 23:44:33,2026-02-25 23:45:06,33.0,-560.0,False,0.55
36109834,USDJPY,買,16000.0,2026-02-25 23:46:04,2026-02-25 23:46:58,54.0,-464.0,False,0.9
36109932,USDJPY,買,16000.0,2026-02-25 23:47:59,2026-02-25 23:52:01,242.0,640.0,True,4.033333333333333
